read_at,city,shop_id,name,day,hour,weekday,locker_type,free,min_qta,price_1h,status
2026-09-25 14:17,palermo,26,City Center | Massimo Theater,2026-09-25,15,weekday,Small,11,5,2.99,read
2026-09-25 14:17,palermo,26,City Center | Massimo Theater,2026-09-25,15,weekday,Standard,12,5,2.49,read
2026-09-25 14:17,palermo,26,City Center | Massimo Theater,2026-09-25,15,weekday,Maxi,11,5,2.99,read
2026-09-25 14:17,rome,31,Termini Train Station,2026-09-25,15,weekday,Small,0,0,1.49,read
2026-09-25 14:17,rome,31,Termini Train Station,2026-09-25,15,weekday,Standard,2,2,2.49,read
2026-09-25 14:17,rome,31,Termini Train Station,2026-09-25,15,weekday,Maxi,0,0,3.49,read
2026-09-25 14:17,bologna,32,Bologna Centrale Train Station,2026-09-25,15,weekday,Small,7,5,1.49,read
2026-09-25 14:17,bologna,32,Bologna Centrale Train Station,2026-09-25,15,weekday,Standard,10,5,2.49,read
2026-09-25 14:17,bologna,32,Bologna Centrale Train Station,2026-09-25,15,weekday,Maxi,14,5,3.49,read
2026-09-25 14:17,milan,36,Cadorna Train Station,2026-09-25,15,weekday,Small,14,5,1.49,read
2026-09-25 14:17,milan,36,Cadorna Train Station,2026-09-25,15,weekday,Standard,1,1,2.49,read
2026-09-25 14:17,milan,36,Cadorna Train Station,2026-09-25,15,weekday,Maxi,0,0,3.49,read
2026-09-25 14:17,siena,38,Piazza del Campo,2026-09-25,15,weekday,Small,5,5,1.49,read
2026-09-25 14:17,siena,38,Piazza del Campo,2026-09-25,15,weekday,Standard,27,5,2.49,read
2026-09-25 14:17,siena,38,Piazza del Campo,2026-09-25,15,weekday,Maxi,19,5,3.49,read
2026-09-25 14:17,brescia,40,Brescia Train Station,2026-09-25,15,weekday,Small,2,2,1.49,read
2026-09-25 14:17,brescia,40,Brescia Train Station,2026-09-25,15,weekday,Standard,16,5,2.49,read
2026-09-25 14:17,brescia,40,Brescia Train Station,2026-09-25,15,weekday,Maxi,11,5,2.99,read
2026-09-25 14:17,pisa,39,Pisa Centrale Train Station,2026-09-25,15,weekday,Small,9,5,1.49,read
2026-09-25 14:17,pisa,39,Pisa Centrale Train Station,2026-09-25,15,weekday,Standard,17,5,2.49,read
2026-09-25 14:17,pisa,39,Pisa Centrale Train Station,2026-09-25,15,weekday,Maxi,12,5,3.49,read
2026-09-25 14:17,rome,37,St. Peter's Basilica,2026-09-25,15,weekday,Small,0,0,1.49,read
2026-09-25 14:17,rome,37,St. Peter's Basilica,2026-09-25,15,weekday,Standard,20,5,2.49,read
2026-09-25 14:17,rome,37,St. Peter's Basilica,2026-09-25,15,weekday,Maxi,10,5,3.49,read
