day,city,area,points,capacity,peak,peak_pct,carry_in,bags_in,deposits
2026-09-23,naples,via-chiaia,3,130,0,0.0,0,0,0.0
2026-09-23,naples,via-toledo,3,135,0,0.0,0,0,0.0
2026-09-23,naples,vicaria,2,55,0,0.0,0,0,0.0
2026-09-23,naples,vomero,5,160,0,0.0,0,0,0.0
2026-09-23,novara,novara-train-station,1,25,0,0.0,0,0,0.0
2026-09-23,olbia,train-station,2,155,15,9.7,15,0,7.5
2026-09-23,padua,city-center,2,75,0,0.0,0,0,0.0
2026-09-23,padua,main-station,3,160,1,0.6,1,0,0.5
2026-09-23,palermo,albergheria,1,30,0,0.0,0,0,0.0
2026-09-23,palermo,corso-dei-mille-sant-erasmo,1,25,0,0.0,0,0,0.0
2026-09-23,palermo,fiera,1,50,0,0.0,0,0,0.0
2026-09-23,palermo,historical-centre-of-palermo,2,60,0,0.0,0,0,0.0
2026-09-23,palermo,mondello,2,40,0,0.0,0,0,0.0
2026-09-23,palermo,mont-di-pieta,2,45,0,0.0,0,0,0.0
2026-09-23,palermo,palazzo-comitini,1,50,0,0.0,0,0,0.0
2026-09-23,palermo,palermo-centrale,4,182,13,7.1,13,0,6.5
2026-09-23,palermo,palermo-city-center,6,340,0,0.0,0,0,0.0
2026-09-23,palermo,piazza-verdi,1,40,1,2.5,1,0,0.5
2026-09-23,palermo,port-palermo,3,150,0,0.0,0,0,0.0
2026-09-23,palermo,settecannoli,1,50,0,0.0,0,0,0.0
2026-09-23,parma,city-center,3,45,0,0.0,0,0,0.0
2026-09-23,parma,station,3,55,0,0.0,0,0,0.0
2026-09-23,pavia,downtown,1,30,0,0.0,0,0,0.0
2026-09-23,pavia,pavia-train-station,2,30,0,0.0,0,0,0.0
2026-09-23,perugia,bus-station,1,25,1,4.0,1,0,0.5
2026-09-23,perugia,central-station,4,105,2,1.9,2,0,1.0
2026-09-23,perugia,elce,2,30,0,0.0,0,0,0.0
2026-09-23,perugia,piazza-della-repubblica,2,30,0,0.0,0,0,0.0
2026-09-23,perugia,piazza-iv-novembre,1,30,0,0.0,0,0,0.0
2026-09-23,pesaro,city-center,4,240,0,0.0,0,0,0.0
2026-09-23,pescara,pescara-centrale-train-station,10,225,0,0.0,0,0,0.0
2026-09-23,piacenza,piacenza-train-station,1,25,0,0.0,0,0,0.0
2026-09-23,pisa,piazza-dei-cavalieri,2,50,0,0.0,0,0,0.0
2026-09-23,pisa,pisa-centrale-train-station,13,880,3,0.3,3,0,1.5
2026-09-23,pisa,pisa-piazza-del-duomo,2,35,0,0.0,0,0,0.0
2026-09-23,pisa,santa-maria,4,115,0,0.0,0,0,0.0
2026-09-23,pisa,tower-of-pisa,1,50,0,0.0,0,0,0.0
2026-09-23,pistoia,pistoia-train-station,1,25,0,0.0,0,0,0.0
2026-09-23,potenza,city-center,1,100,0,0.0,0,0,0.0
2026-09-23,potenza,potenza-city-center,1,20,0,0.0,0,0,0.0
2026-09-23,prato,prato-centrale,3,70,0,0.0,0,0,0.0
2026-09-23,ragusa,city-center,3,60,0,0.0,0,0,0.0
2026-09-23,ragusa,duomo-di-san-giorgio,1,10,0,0.0,0,0,0.0
2026-09-23,ragusa,ragusa-train-station,1,25,0,0.0,0,0,0.0
2026-09-23,ravenna,main-station,5,130,0,0.0,0,0,0.0
2026-09-23,reggio-calabria,center,2,150,2,1.3,2,0,1.0
2026-09-23,reggio-calabria,central-station,2,80,0,0.0,0,0,0.0
2026-09-23,reggio-calabria,villa-san-giovanni,1,50,0,0.0,0,0,0.0
2026-09-23,reggio-emilia,railway-station,1,65,0,0.0,0,0,0.0
2026-09-23,reggio-emilia,reggio-emilia-old-town,1,10,0,0.0,0,0,0.0
2026-09-23,rimini,bellariva,1,50,0,0.0,0,0,0.0
2026-09-23,rimini,city-center,5,92,0,0.0,0,0,0.0
2026-09-23,rimini,federico-fellini-international-airport,1,20,0,0.0,0,0,0.0
2026-09-23,rimini,federico-fellini-park,1,25,0,0.0,0,0,0.0
2026-09-23,rimini,lungomare-augusto-murri,2,40,0,0.0,0,0,0.0
2026-09-23,rimini,rimini-train-station,4,375,0,0.0,0,0,0.0
2026-09-23,rome,Municipio-Roma-X,1,30,0,0.0,0,0,0.0
2026-09-23,rome,aventino,1,100,2,2.0,2,0,1.0
2026-09-23,rome,baldo-degli-ubaldi-station,2,55,0,0.0,0,0,0.0
2026-09-23,rome,bocca-della-verita,1,40,2,5.0,2,0,1.0
2026-09-23,rome,brancaccio,1,20,0,0.0,0,0,0.0
2026-09-23,rome,casal-monastero,1,100,0,0.0,0,0,0.0
2026-09-23,rome,castel-sant-angelo,2,110,2,1.8,2,0,1.0
2026-09-23,rome,cavour,1,50,6,12.0,6,0,3.0
2026-09-23,rome,ciampino,2,80,0,0.0,0,0,0.0
2026-09-23,rome,collatino,1,100,0,0.0,0,0,0.0
2026-09-23,rome,colosseum,3,95,0,0.0,0,0,0.0
2026-09-23,rome,esquilino,8,420,12,2.9,12,0,6.0
2026-09-23,rome,fiera-di-roma,1,30,0,0.0,0,0,0.0
2026-09-23,rome,flaminio,2,75,0,0.0,0,0,0.0
2026-09-23,rome,furio-camillo,4,120,0,0.0,0,0,0.0
2026-09-23,rome,garbatella,2,70,0,0.0,0,0,0.0
2026-09-23,rome,la-rustica,1,30,0,0.0,0,0,0.0
2026-09-23,rome,largo-di-torre-argentina,1,35,0,0.0,0,0,0.0
2026-09-23,rome,lepanto,2,60,0,0.0,0,0,0.0
2026-09-23,rome,manzoni,2,45,0,0.0,0,0,0.0
2026-09-23,rome,monti,7,285,9,3.2,9,0,4.5
2026-09-23,rome,navona,7,355,0,0.0,0,0,0.0
2026-09-23,rome,nomentana,2,95,0,0.0,0,0,0.0
2026-09-23,rome,nomentano,1,30,0,0.0,0,0,0.0
2026-09-23,rome,ostia-1,1,40,0,0.0,0,0,0.0
2026-09-23,rome,ostiense,6,470,1,0.2,1,0,0.5
2026-09-23,rome,ottaviano,3,80,0,0.0,0,0,0.0
2026-09-23,rome,pantheon,14,892,14,1.6,14,0,7.0
2026-09-23,rome,parioli,2,65,0,0.0,0,0,0.0
2026-09-23,rome,piazza-campo-de-fiori,4,205,2,1.0,2,0,1.0
2026-09-23,rome,piazza-del-popolo,3,215,2,0.9,2,0,1.0
2026-09-23,rome,piazza-di-san-pietro-in-vincoli,2,70,0,0.0,0,0,0.0
2026-09-23,rome,pigneto,2,70,0,0.0,0,0,0.0
2026-09-23,rome,pigneto-prenestina,1,50,0,0.0,0,0,0.0
2026-09-23,rome,porta-s-paolo,1,60,2,3.3,2,0,1.0
2026-09-23,rome,portuense,3,140,3,2.1,3,0,1.5
2026-09-23,rome,prati,4,145,0,0.0,0,0,0.0
2026-09-23,rome,primavalle,2,80,0,0.0,0,0,0.0
2026-09-23,rome,quartiere-xii-gianicolense,2,65,0,0.0,0,0,0.0
2026-09-23,rome,quartiere-xv-della-vittoria,1,20,0,0.0,0,0,0.0
2026-09-23,rome,repubblica,7,310,2,0.6,2,0,1.0
2026-09-23,rome,rione-ix-pigna,1,50,0,0.0,0,0,0.0
2026-09-23,rome,roma-stadio-olimpico,1,30,0,0.0,0,0,0.0
2026-09-23,rome,roma-vatican-museums,2,150,0,0.0,0,0,0.0
2026-09-23,rome,roman-forum,1,80,0,0.0,0,0,0.0
2026-09-23,rome,s-pietro,3,95,0,0.0,0,0,0.0
2026-09-23,rome,san-giovanni,6,690,0,0.0,0,0,0.0
2026-09-23,rome,san-lorenzo,2,30,0,0.0,0,0,0.0
2026-09-23,rome,santa-maria-maggiore,1,100,0,0.0,0,0,0.0
2026-09-23,rome,st-peter-basilica,1,35,2,5.7,2,0,1.0
2026-09-23,rome,termini,30,2768,77,2.8,65,12,38.5
2026-09-23,rome,tiburtina,7,260,17,6.5,17,0,8.5
2026-09-23,rome,torre-maura,1,100,0,0.0,0,0,0.0
2026-09-23,rome,trastevere,12,530,2,0.4,2,0,1.0
2026-09-23,rome,trevi,3,185,1,0.5,1,0,0.5
2026-09-23,rome,vatican,12,615,4,0.7,4,0,2.0
2026-09-23,rovigo,rovigo-train-station,1,20,0,0.0,0,0,0.0
2026-09-23,salerno,city-centre,4,85,0,0.0,0,0,0.0
2026-09-23,salerno,rione-porto,1,20,0,0.0,0,0,0.0
2026-09-23,salerno,salerno-train-station,6,320,3,0.9,3,0,1.5
2026-09-23,sassari,city-center,1,20,0,0.0,0,0,0.0
2026-09-23,sassari,sassari-train-station,1,20,0,0.0,0,0,0.0
2026-09-23,savona,public-beach-lo-scaletto-dei-pescatori,1,20,0,0.0,0,0,0.0
2026-09-23,savona,savona-city-center,2,30,3,10.0,3,0,1.5
2026-09-23,savona,train-station,1,20,1,5.0,1,0,0.5
2026-09-23,siena,city-center,8,302,2,0.7,2,0,1.0
2026-09-23,siena,istrice,2,70,0,0.0,0,0,0.0
2026-09-23,siena,lupa,2,55,0,0.0,0,0,0.0
2026-09-23,siena,siena-train-station,1,35,0,0.0,0,0,0.0
2026-09-23,syracuse,apollo-temple,1,25,0,0.0,0,0,0.0
2026-09-23,syracuse,augusta,1,20,0,0.0,0,0,0.0
2026-09-23,syracuse,station,5,170,2,1.2,2,0,1.0
2026-09-23,syracuse,yacht-lub-lakkios-marina-porto-piccolo-ortigia,1,25,0,0.0,0,0,0.0
2026-09-23,taranto,castello-aragonese,2,60,0,0.0,0,0,0.0
2026-09-23,taranto,sacello-romano,2,50,0,0.0,0,0,0.0
2026-09-23,trani,trani-transit-station,1,50,0,0.0,0,0,0.0
2026-09-23,trapani,city-center,3,225,0,0.0,0,0,0.0
2026-09-23,trapani,train-station,2,30,0,0.0,0,0,0.0
2026-09-23,trapani,trapani-port,4,430,4,0.9,4,0,2.0
2026-09-23,trento,main-station,8,255,2,0.8,2,0,1.0
2026-09-23,treviso,city-center,2,120,0,0.0,0,0,0.0
2026-09-23,treviso,treviso-train-station,2,95,8,8.4,8,0,4.0
