seen_on,city,area,storage_id,name,lat,lng,capacity,is_locker,open_24_7,reviews,rating,price_eur
2026-09-23,rome,trastevere,6461932,Luggage Storage near Piazza Trilussa,41.8917755,12.4687472,20,False,False,27,4.76,5.0
2026-09-23,rome,ostiense,6461925,Luggage Storage Ostiense Railway Station,41.871929,12.480405,20,False,False,18,4.47,5.0
2026-09-23,rome,portuense,6461877,Luggage Storage Trastevere Train Station,41.8673939,12.4654917,100,False,False,0,0,5.0
2026-09-23,rome,s-pietro,6461618,Luggage Storage near St. Angelo Bridge,41.8996495,12.4661656,50,False,False,38,4.65,5.0
2026-09-23,rome,trastevere,6461559,Luggage Storage Marconi/Meucci,41.8675504,12.4692847,20,False,False,0,5,5.0
2026-09-23,rome,vittorio-emanuele,6461501,Luggage Storage Via Cairoli / Piazza Vittorio Emanuele,41.8944846,12.5080654,100,False,False,6,4.33,1.6
2026-09-23,rome,piazza-di-san-pietro-in-vincoli,6461425,Luggage Storage Cipro/Bragadin,41.9058138,12.446619,20,False,False,25,4.86,5.0
2026-09-23,rome,san-lorenzo,6460798,Luggage Storage Roma San Lorenzo,41.8987457,12.515228,20,False,False,4,4.25,5.0
2026-09-23,rome,termini,6460703,Luggage Storage Via Carlo Cattaneo,41.8990034,12.5016621,20,False,False,19,4.2,5.0
2026-09-23,rome,ottaviano,6460440,Luggage Storage Mercato Trionfale,41.9090956,12.4521083,20,False,False,9,4.89,5.0
2026-09-23,rome,vigne-nuove,6460358,Luggage Storage Vigne Nuove,41.9607991,12.5301171,100,False,False,0,0,1.6
2026-09-23,rome,pantheon,6460295,Luggage Storage Church Of The Gesù,41.8974952,12.4786334,30,False,False,16,4.5,5.0
2026-09-23,rome,primavalle,6460001,Luggage Storage Circonvallazione Cornelia,41.9004678,12.4268028,50,False,False,5,4.4,5.0
2026-09-23,rome,termini,6459912,Luggage Storage Amendola / Termini Station,41.8996747,12.5005237,20,False,False,10,4.68,5.0
2026-09-23,rome,santa-maria-maggiore,6459910,Luggage Storage Gioberti / Santa Maria Maggiore,41.8983534,12.4999137,100,False,False,14,4.88,5.0
2026-09-23,rome,pantheon,6459743,Luggage Storage Basilica Sant'Andrea Della Valle,41.8964952,12.4753857,20,False,False,3,4.9,5.0
2026-09-23,rome,repubblica,6459675,Luggage Storage Piazza Del Viminale,41.8995047,12.495026,25,False,False,15,4.47,5.0
2026-09-23,rome,quartiere-xii-gianicolense,6458599,Luggage Storage Donna Olimpia,41.8762453,12.4538673,20,False,False,1,5,5.0
2026-09-23,rome,pantheon,6458567,Luggage Storage Piazza Dei Calcarari,41.8951723,12.4774968,100,False,False,8,4.88,5.0
2026-09-23,rome,pantheon,6458442,Luggage Storage Vittorio Emanuele / Argentina,41.8962226,12.4758001,40,False,False,13,3.94,5.0
2026-09-23,rome,flaminio,6458349,Luggage Storage near Stadio Olimpico (ONLY FOR STADIUM EVENTS),41.9220251,12.4582228,20,False,False,5,5,1.6
2026-09-23,rome,flaminio,6458348,Luggage Storage Stadio Olimpico (ONLY FOR STADIUM EVENTS),41.92230740000001,12.45854,35,False,False,12,4.86,5.0
