read_at,city,area,storage_id,name,day,hour,weekday,capacity,booked,free,status
2026-09-23 17:18,rome,furio-camillo,4573,Luggage Storage Lodi Metro Station,2026-09-23,18,weekday,40,0,40,read
2026-09-23 17:18,rome,termini,4299,Luggage Storage Piazza Dei Cinquecento,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,piazza-del-popolo,4253,Luggage Storage Flaminio,2026-09-23,18,weekday,60,2,58,read
2026-09-23 17:18,rome,trastevere,4247,Luggage Storage Trastevere,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,colosseum,4124,Luggage Storage Colosseum,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,repubblica,4060,Luggage Storage Repubblica Metro Station,2026-09-23,18,weekday,60,0,60,read
2026-09-23 17:18,rome,aventino,3992,Luggage Storage Aventino,2026-09-23,18,weekday,100,2,98,read
2026-09-23 17:18,rome,baldo-degli-ubaldi-station,3920,Luggage Storage Baldo Degli Ubaldi,2026-09-23,18,weekday,40,0,40,read
2026-09-23 17:18,rome,vatican,3850,Luggage Storage Vatican,2026-09-23,18,weekday,45,0,45,read
2026-09-23 17:18,rome,ciampino,3717,Luggage Storage Ciampino City Center,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,rome,tiburtina,3693,Luggage Storage Tiburtina,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,rome,monti,3571,Luggage Storage Monti,2026-09-23,18,weekday,40,0,40,read
2026-09-23 17:18,rome,castel-sant-angelo,3174,Luggage Storage Castel Sant'angelo,2026-09-23,18,weekday,50,2,48,read
2026-09-23 17:18,rome,vatican,2902,Luggage Storage Valle Aurelia,2026-09-23,18,weekday,45,0,45,read
2026-09-23 17:18,rome,ottaviano,1111,Luggage Storage Ottaviano,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,milan,milan-centrale-railway-station,173,Luggage Storage Milan Centrale Railway Station,2026-09-23,18,weekday,70,23,47,read
2026-09-23 17:18,milan,milan-centrale-railway-station,5782,Luggage Storage Centrale FS,2026-09-23,18,weekday,100,10,90,read
2026-09-23 17:18,milan,porta-garibaldi-train-station,8939,Luggage Storage Porta Garibaldi Railway Station,2026-09-23,18,weekday,40,0,40,read
2026-09-23 17:18,milan,cadorna,9047,Luggage Storage Cadorna Railway Station,2026-09-23,18,weekday,200,0,200,read
2026-09-23 17:18,milan,milan-centrale-railway-station,3521,Luggage Storage Milan Centrale Train Station,2026-09-23,18,weekday,300,6,294,read
2026-09-23 17:18,milan,milan-centrale-railway-station,2299,Luggage Storage Central Station,2026-09-23,18,weekday,70,1,69,read
2026-09-23 17:18,milan,duomo,6452080,Luggage Storage Duomo Milano Metro Station,2026-09-23,18,weekday,75,0,75,read
2026-09-23 17:18,milan,milan-centrale-railway-station,8929,Luggage Storage Lepetit / Milan Centrale,2026-09-23,18,weekday,120,2,118,read
2026-09-23 17:18,milan,palazzo-di-giustizia,6550,Luggage Storage Viale Regina Margherita,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,milan,porta-genova,9028,Luggage Storage Milano Porta Genova Railway Station,2026-09-23,18,weekday,65,3,62,read
2026-09-23 17:18,milan,porta-garibaldi-train-station,5776,Luggage Storage Garibaldi Fs,2026-09-23,18,weekday,30,0,30,read
2026-09-23 17:18,milan,san-siro-stadium,9464,Luggage Storage San Siro Stadium,2026-09-23,18,weekday,300,0,300,read
2026-09-23 17:18,milan,san-babila,2709,Luggage Storage San Babila,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,milan,milan-centrale-railway-station,5777,Luggage Storage Milano Centrale,2026-09-23,18,weekday,90,13,77,read
2026-09-23 17:18,milan,milan-centrale-railway-station,6451052,Luggage Storage Malpensa Shuttle / Milano Centrale,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,milan,porta-romana,9192,Luggage Storage Milano Porta Romana,2026-09-23,18,weekday,35,0,35,read
2026-09-23 17:18,milan,porta-romana,9099,Luggage Storage Crocetta Metro Station,2026-09-23,18,weekday,50,0,50,read
2026-09-23 17:18,milan,porta-genova,9049,Luggage Storage Navigli Darsena,2026-09-23,18,weekday,25,0,25,read
2026-09-23 17:18,milan,milan-centrale-railway-station,9024,Luggage Storage Viale Montello,2026-09-23,18,weekday,50,2,48,read
2026-09-23 17:18,milan,corso-buenos-aires,9020,Luggage Storage near Corso Buenos Aires,2026-09-23,18,weekday,20,0,20,read
2026-09-23 17:18,milan,santa-maria-delle-grazie,8990,Luggage Storage Piazza Virgilio / Cadorna,2026-09-23,18,weekday,35,3,32,read
2026-09-23 17:18,milan,bullona,8634,Luggage Storage Mac Mahon,2026-09-23,18,weekday,15,0,15,read
2026-09-23 17:18,milan,milan-centrale-railway-station,8338,Luggage Storage Milan Train Station,2026-09-23,18,weekday,100,0,100,read
